sectionFamily,sessionType,trackName,observationRows,medianPercentile,meanPercentile,topQuartileShare,bottomQuartileShare,sourceHash
I1B to I1,practice,Road America,45,0.6429,0.6035,0.2889,0.1333,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I2 to I3,practice,Road America,45,0.7222,0.6776,0.4889,0.0667,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I3 to I3A,practice,Road America,45,0.55,0.5283,0.2889,0.1556,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I3A to I4,practice,Road America,45,0.7222,0.671,0.4,0.0889,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I4 to I4A,practice,Road America,45,0.75,0.6927,0.5111,0.0444,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I4A to I5,practice,Road America,45,0.7059,0.6974,0.4667,0.0667,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I5 to I6,practice,Road America,45,0.5,0.4981,0.2222,0.2222,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I6 to I7,practice,Road America,45,0.7,0.6315,0.3556,0.0889,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I7 to I8,practice,Road America,45,0.6842,0.6169,0.3556,0.1111,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I8 to I9,practice,Road America,45,0.4444,0.4518,0.1556,0.1556,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I9 to I10,practice,Road America,45,0.5714,0.5643,0.2667,0.1333,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I1 to I2,qualifying,Road America,9,0.3333,0.4313,0.1111,0.4444,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I10 to I11 I11 to I11B I11B to I12 I12 to I13 I13 to I13A,qualifying,Road America,9,0.5556,0.5441,0.3333,0.2222,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I13A to I14 I14 to I15C I15C to I15,qualifying,Road America,11,0.7,0.5738,0.3636,0.1818,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I1B to I1,qualifying,Road America,8,0.6111,0.4901,0.25,0.375,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I2 to I3,qualifying,Road America,9,0.7,0.6332,0.4444,0.1111,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I3 to I3A,qualifying,Road America,9,0.5556,0.5018,0.2222,0.4444,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I3A to I4,qualifying,Road America,9,0.7778,0.6762,0.5556,0.0,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I4 to I4A,qualifying,Road America,9,0.7778,0.6898,0.6667,0.0,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I4A to I5,qualifying,Road America,9,0.8,0.6443,0.5556,0.2222,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I5 to I6,qualifying,Road America,9,0.4444,0.5582,0.3333,0.1111,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I6 to I7,qualifying,Road America,9,0.3333,0.4415,0.3333,0.4444,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I7 to I8,qualifying,Road America,9,0.3333,0.444,0.3333,0.3333,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I8 to I9,qualifying,Road America,9,0.4,0.361,0.1111,0.4444,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I9 to I10,qualifying,Road America,9,0.7,0.6099,0.4444,0.2222,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
BS 1,practice,Streets of Arlington,19,0.4348,0.4583,0.0526,0.1053,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
BS 2,practice,Streets of Arlington,19,0.8696,0.8709,0.9474,0.0,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
BS 3,practice,Streets of Arlington,19,0.7826,0.7485,0.6316,0.0526,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
BS 4,practice,Streets of Arlington,19,0.6957,0.6229,0.4211,0.1579,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
BS 5,practice,Streets of Arlington,19,0.1739,0.2461,0.0,0.5263,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 1,practice,Streets of Arlington,20,0.4188,0.4233,0.1,0.3,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 10,practice,Streets of Arlington,19,0.3043,0.324,0.0,0.4211,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 11,practice,Streets of Arlington,19,0.6364,0.5961,0.2105,0.0526,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 12,practice,Streets of Arlington,19,0.3182,0.3176,0.0,0.2632,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 13,practice,Streets of Arlington,19,0.3478,0.3466,0.0,0.2105,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 14,practice,Streets of Arlington,20,0.2889,0.3076,0.0,0.45,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 2,practice,Streets of Arlington,20,0.15,0.1637,0.0,0.8,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 3,practice,Streets of Arlington,20,0.2441,0.2831,0.0,0.5,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 4,practice,Streets of Arlington,20,0.3775,0.4034,0.05,0.15,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 5,practice,Streets of Arlington,20,0.1996,0.2537,0.0,0.6,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 6,practice,Streets of Arlington,20,0.3261,0.3352,0.0,0.3,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 7,practice,Streets of Arlington,20,0.2174,0.2799,0.05,0.6,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 8,practice,Streets of Arlington,20,0.413,0.4298,0.05,0.2,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 9,practice,Streets of Arlington,19,0.2609,0.2729,0.0,0.3684,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turns 11/12,practice,Streets of Arlington,19,0.2609,0.286,0.0526,0.4737,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turns 13/14,practice,Streets of Arlington,21,0.3913,0.4196,0.0952,0.2857,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turns 3/4,practice,Streets of Arlington,20,0.2609,0.3293,0.1,0.5,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turns 8/9,practice,Streets of Arlington,20,0.2885,0.3781,0.05,0.25,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turns 13/14,qualifying,Streets of Arlington,8,0.1909,0.2589,0.0,0.625,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Back Str 2,practice,Streets of Detroit,138,0.5895,0.5604,0.2464,0.1667,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I1 to I2A,practice,Streets of Detroit,134,0.4348,0.4319,0.0896,0.2388,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I10 to I11,practice,Streets of Detroit,134,0.5217,0.5007,0.194,0.1642,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I11 to 12,practice,Streets of Detroit,134,0.4437,0.4513,0.1045,0.194,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
