driverId,driverName,nationality,hometown,seriesIds,seasonYears,teamCount,carCount,eventCount,sessionCount,qualifyingRows,resultRows,lapRows,bestObservedFinish,medianObservedFinish,sharedRaceSessionWithBryceCount,sameTeamAsBryceEventCount,cohortLabel,provenanceRefCount,sourceState,sourceHash
driver_robin_frijns,Robin Frijns,NLD,Kreuzlingen,series_imsa_weathertech,2025,1,1,1,1,0,1,217,7,7.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_rodrigo_sales,Rodrigo Sales,United States,"Crystal Bay, NV",series_imsa_weathertech,2025,1,1,1,1,0,1,149,10,10.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_roger_orgee,Roger ORGEE,,,series_formula_ford,2020,0,1,1,4,0,4,0,12,14.0,1,0,shared_race_field,4,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_romain_grosjean,Romain Grosjean,FRA,"Geneva, Switzerland",series_imsa_weathertech,2025,1,1,1,1,0,1,0,61,61.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_roman_bilinski,Roman Bilinski,Poland,,series_froc;series_gb3,2021;2024,1,2,10,77,10,77,0,1,3.0,21,0,shared_race_field,77,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_roman_de_angelis,Roman De Angelis,CAN,"Windsor , ON",series_imsa_weathertech,2025,1,1,1,1,0,1,9,57,57.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_rory_smith,Rory SMITH,,,series_formula_ford,2020,0,2,6,21,0,21,0,1,3.0,11,0,shared_race_field,21,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_rory_van_der_steur,Rory van der Steur,United States,"Chesapeake City, MD",series_imsa_weathertech,2025,1,1,1,1,0,1,154,31,31.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_ross_gunn,Ross Gunn,GBR,"Great Missenden, United Kingdom",series_imsa_weathertech,2025,1,1,1,1,0,1,77,57,57.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_ross_martin,Ross MARTIN,,,series_formula_ford,2020,0,3,5,18,0,18,0,1,3.0,11,0,shared_race_field,18,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_rudolf_ernst,Rudolf ERNST,,,series_formula_ford,2020,0,1,1,6,0,6,0,16,19.5,0,0,observed_competitor_or_codriver,6,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_russell_ward,Russell Ward,United States,"Seabrook, TX",series_imsa_weathertech,2025,1,1,1,1,0,1,157,29,29.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_ryan_bjerke,Ryan Bjerke,,,series_frp_f1600,2019,0,1,3,16,0,16,0,3,10.0,9,0,shared_race_field,16,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_ryan_campbell,Ryan CAMPBELL,,,series_formula_ford,2020,0,2,2,12,0,12,0,2,10.0,2,0,shared_race_field,12,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
