raceSessionId,qualiSessionId,seriesId,seriesName,seasonYear,roundIndex,eventName,raceLabel,raceNumber,sourceFamily,sourceTable,qualiRank,qualiFieldSize,grid,start,finish,raceFieldSize,linkageTier,conversionOutcome,qualiToFinish,gridToFinish,sourceHash
session_indy_nxt_2026_6750,session_indy_nxt_2026_6807,series_indy_nxt,INDY NXT,2026,3,Grand Prix of Alabama Race 1,Race,1,official_qualifying,qualifyingResults,5,24,5,5,8,24,grid_confirmed,behind,-3,-3,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2026_6752,session_indy_nxt_2026_6810,series_indy_nxt,INDY NXT,2026,4,Grand Prix of Alabama Race 2,Race,2,official_qualifying,qualifyingResults,11,24,11,11,7,24,grid_confirmed,ahead,4,4,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2026_6756,session_indy_nxt_2026_6829,series_indy_nxt,INDY NXT,2026,5,Indianapolis Grand Prix Race 1,Race,1,official_qualifying,qualifyingResults,13,24,13,13,22,24,grid_confirmed,behind,-9,-9,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2026_6765,session_indy_nxt_2026_6832,series_indy_nxt,INDY NXT,2026,6,Indianapolis Grand Prix Race 2,Race,2,official_qualifying,qualifyingResults,14,24,14,14,12,24,grid_confirmed,ahead,2,2,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2026_6749,session_indy_nxt_2026_6854,series_indy_nxt,INDY NXT,2026,7,Detroit Grand Prix,Race,,official_qualifying,qualifyingResults,14,24,14,14,8,24,grid_confirmed,ahead,6,6,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2026_6763,session_indy_nxt_2026_6864,series_indy_nxt,INDY NXT,2026,8,INDY NXT by Firestone at World Wide Technology Raceway,Race,,official_qualifying,qualifyingResults,12,24,12,12,23,24,grid_confirmed,behind,-11,-11,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2026_6762,session_indy_nxt_2026_6872,series_indy_nxt,INDY NXT,2026,9,Grand Prix at Road America Race 1,Race,1,official_qualifying,qualifyingResults,15,24,15,15,21,24,grid_confirmed,behind,-6,-6,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2026_6754,session_indy_nxt_2026_6875,series_indy_nxt,INDY NXT,2026,10,Grand Prix at Road America Race 2,Race,2,official_qualifying,qualifyingResults,15,24,15,15,10,24,grid_confirmed,ahead,5,5,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2026_6761,session_indy_nxt_2026_6894,series_indy_nxt,INDY NXT,2026,11,Grand Prix at Mid-Ohio Race 1,Race,1,official_qualifying,qualifyingResults,13,24,13,13,16,24,grid_confirmed,behind,-3,-3,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2026_6760,session_indy_nxt_2026_6897,series_indy_nxt,INDY NXT,2026,12,Grand Prix at Mid-Ohio Race 2,Race,2,official_qualifying,qualifyingResults,15,24,15,15,14,24,grid_confirmed,ahead,1,1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2026_6755,session_indy_nxt_2026_6923,series_indy_nxt,INDY NXT,2026,13,Music City Grand Prix,Race,,official_qualifying,qualifyingResults,8,23,8,8,10,23,grid_confirmed,behind,-2,-2,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
